系統,線名,車站,緯度,經度,日平均,年總量,,,,,,,,
捷運,台北紅線,士林（R16）,25.0934,121.5262,26347,9642991,,,,,,,,
捷運,台北紅線,芝山（R17）,25.103,121.5225,21540,7883741,,,,,,,,
捷運,台北紅線,明德（R18）,25.1099,121.5187,11681,4275270,,,,,,,,
捷運,台北紅線,石牌（R19）,25.1145,121.5155,26507,9701644,,,,,,,,
捷運,台北紅線,唭哩岸（R20）,25.1208,121.5062,6855,2508912,,,,,,,,
捷運,台北紅線,奇岩（R21）,25.1255,121.5012,8212,3005649,,,,,,,,
捷運,台北紅線,北投（R22）,25.1318,121.4986,17015,6227437,,,,,,,,
捷運,台北紅線,復興崗（R23）,25.1376,121.4854,3672,1343923,,,,,,,,
捷運,台北紅線,忠義（R24）,25.1311,121.4735,2827,1034570,,,,,,,,
捷運,台北紅線,關渡（R25）,25.1256,121.4671,11821,4326572,,,,,,,,
捷運,台北紅線,竹圍（R26）,25.1369,121.4594,8666,3171802,,,,,,,,
捷運,台北紅線,紅樹林（R27）,25.1551,121.4588,12013,4396826,,,,,,,,
捷運,台北紅線,淡水（R28）,25.1678,121.4456,33641,12312523,,,,,,,,
捷運,台中捷運,北屯總站,24.189132,120.70864,699,255757,,,,,,,,
捷運,台中捷運,舊社站,24.182289,120.707294,1127,412510,,,,,,,,
捷運,台中捷運,松竹站,24.180807,120.70145,2733,1000155,,,,,,,,
捷運,台中捷運,四維國小站,24.171243,120.693295,1739,636629,,,,,,,,
捷運,台中捷運,文心崇德站,24.172194,120.684869,2925,1070426,,,,,,,,
捷運,台中捷運,文心中清站,24.173682,120.670599,2906,1063767,,,,,,,,
捷運,台中捷運,文華高中站,24.171416,120.660455,2031,743423,,,,,,,,
捷運,台中捷運,文心櫻花站,24.167636,120.653674,1673,612402,,,,,,,,
捷運,台中捷運,市政府站,24.16199,120.649035,5396,1975017,,,,,,,,
捷運,台中捷運,水安宮站,24.153113,120.646687,2610,955345,,,,,,,,
捷運,台中捷運,文心森林公園站,24.1454,120.6466,2076,759736,,,,,,,,
捷運,台中捷運,南屯站,24.1405,120.6466,1690,618613,,,,,,,,
捷運,台中捷運,豐樂公園站,24.132606,120.64635,2074,759260,,,,,,,,
捷運,台中捷運,大慶站,24.1191,120.6476,2796,1023516,,,,,,,,
捷運,台中捷運,九張犁站,24.1145,120.6401,29,10591,,,,,,,,
捷運,台中捷運,九德站,24.111049,120.634481,1561,571152,,,,,,,,
捷運,台中捷運,烏日站,24.1089,120.6249,604,220947,,,,,,,,
捷運,台中捷運,高鐵臺中站,24.110119,120.614053,8522,3118896,,,,,,,,
輕軌,高雄輕軌,籬仔內站,22.604503,120.324714,852,311664,,,,,,,,25972
輕軌,高雄輕軌,凱旋瑞田站,22.599319,120.319806,264,96792,,,,,,,,8066
輕軌,高雄輕軌,前鎮之星站,22.595313,120.315358,1853,678348,,,,,,,,56529
輕軌,高雄輕軌,凱旋中華站,22.593483,120.310476,245,89652,,,,,,,,7471
輕軌,高雄輕軌,夢時代站,22.594748,120.304865,2252,824220,,,,,,,,68685
輕軌,高雄輕軌,經貿園區站,22.600889,120.302751,154,56280,,,,,,,,4690
輕軌,高雄輕軌,軟體園區站,22.605555,120.300873,393,143916,,,,,,,,11993
輕軌,高雄輕軌,高雄展覽館站,22.609875,120.297959,515,188820,,,,,,,,15735
輕軌,高雄輕軌,旅運中心站,22.611418,120.293413,211,77316,,,,,,,,6443
輕軌,高雄輕軌,光榮碼頭站,22.616555,120.293189,670,245112,,,,,,,,20426
輕軌,高雄輕軌,真愛碼頭站,22.618324,120.28424,583,213360,,,,,,,,17780
輕軌,高雄輕軌,駁二大義站,22.620224,120.279918,1535,562272,,,,,,,,46856
輕軌,高雄輕軌,駁二蓬萊站,22.621411,120.275922,838,306696,,,,,,,,25558
輕軌,高雄輕軌,哈瑪星站,22.621411,120.275922,1888,691212,,,,,,,,57601
輕軌,高雄輕軌,壽山公園,22.626283,120.278634,329,120336,,,,,,,,10028
輕軌,高雄輕軌,文武聖殿,22.629313,120.280591,374,136932,,,,,,,,11411
輕軌,高雄輕軌,鼓山區公所,22.635974,120.282303,325,119100,,,,,,,,9925
輕軌,高雄輕軌,鼓山站,22.642083,120.280902,328,120204,,,,,,,,10017
輕軌,高雄輕軌,馬卡道站,22.647061,120.281496,157,57396,,,,,,,,4783
輕軌,高雄輕軌,臺鐵美術館站,22.652073,120.281777,689,252480,,,,,,,,21040
輕軌,高雄輕軌,內惟藝術中心站,22.654997,120.282934,602,220368,,,,,,,,18364
輕軌,高雄輕軌,美術館站,22.654973,120.287372,799,292548,,,,,,,,24379
輕軌,高雄輕軌,聯合醫院站,22.654757,120.290892,662,242400,,,,,,,,20200
輕軌,高雄輕軌,龍華國小站,22.654489,120.29512,506,185100,,,,,,,,15425
輕軌,高雄輕軌,愛河之心站,22.656092,120.302803,2627,961836,,,,,,,,80153
輕軌,高雄輕軌,新上國小站,22.656643,120.308822,782,286320,,,,,,,,23860
輕軌,高雄輕軌,大順民族站,22.655532,120.315397,264,96612,,,,,,,,8051
輕軌,高雄輕軌,灣仔內,22.653564,120.318868,714,261372,,,,,,,,21781
輕軌,高雄輕軌,高雄高工站,22.649775,120.324114,1027,375828,,,,,,,,31319
輕軌,高雄輕軌,樹德家商站,22.643729,120.326385,972,355656,,,,,,,,29638
輕軌,高雄輕軌,科工館站,22.636881,120.327123,871,318768,,,,,,,,26564
輕軌,高雄輕軌,聖功醫院站,22.632712,120.32562,423,154908,,,,,,,,12909
輕軌,高雄輕軌,凱旋公園,22.629376,120.32281,462,169332,,,,,,,,14111
輕軌,高雄輕軌,衛生局,22.625168,120.323591,508,185748,,,,,,,,15479
輕軌,高雄輕軌,五權國小,22.621161,120.325102,353,129192,,,,,,,,10766
輕軌,高雄輕軌,凱旋武昌,22.616991,120.326723,286,104748,,,,,,,,8729
輕軌,高雄輕軌,凱旋二聖,22.612481,120.327086,327,119904,,,,,,,,9992
輕軌,高雄輕軌,輕軌機廠,22.608458,120.325971,378,138480,,,,,,,,11540
捷運,台北綠線,松山站,25.050101,121.577195,"24,595",9001613,,,,,,,,
捷運,台北綠線,南京三民站,25.051347,121.564133,"19,498",7136286,,,,,,,,
捷運,台北綠線,台北小巨蛋站,25.051559,121.552179,"21,801",7979076,,,,,,,,
捷運,台北綠線,南京復興站,25.052111,121.543679,"38,829",14211358,,,,,,,,
捷運,台北綠線,松江南京站,25.051941,121.532804,"33,259",12172854,,,,,,,,
捷運,台北綠線,中山站,25.052479,121.520179,"47,563",17407935,,,,,,,,
捷運,台北綠線,北門站,25.049096,121.510038,"15,619",5716607,,,,,,,,
捷運,台北綠線,西門站,25.041893,121.507905,"65,861",24104969,,,,,,,,
捷運,台北綠線,小南門站,25.035856,121.510783,"9,001",3294339,,,,,,,,
捷運,台北綠線,中正紀念堂站,25.032533,121.518348,"26,330",9636768,,,,,,,,
捷運,台北綠線,古亭站,25.026513,121.522948,"29,190",10683385,,,,,,,,
捷運,台北綠線,台電大樓站,25.020119,121.529085,"14,920",5473895,,,,,,,,
捷運,台北綠線,公館站,25.014972,121.534297,"26,284",9621040,,,,,,,,
捷運,台北綠線,萬隆站,25.001808,121.539074,"9,435",3453151,,,,,,,,
捷運,台北綠線,景美站,24.992816,121.540711,"14,920",5460558,,,,,,,,
捷運,台北綠線,大坪林站,24.982789,121.541302,"20,475",7493832,,,,,,,,
捷運,台北綠線,七張站,24.975123,121.542824,"14,177",5188670,,,,,,,,
捷運,台北綠線,新店區公所站,24.967869,121.541632,"11,443",4188076,,,,,,,,
捷運,台北綠線,新店站,24.957741,121.537621,"11,682",4275727,,,,,,,,
捷運,北捷環狀線,新北產業園區,25.061308,121.460148,1205,439709,,,,,,,,
捷運,北捷環狀線,幸福,25.05009,121.460155,1458,532211,,,,,,,,
捷運,北捷環狀線,頭前庄,25.039225,121.460632,5242,1913386,,,,,,,,
